,Fáza,Vyváženie,S,P_0,P_1,P_2,P_3,Ú_0,Ú_1,Ú_2,Ú_3,F1_makro
0,1,žiadne,0.76,0.87,0.53,0.6,0.79,0.97,0.41,0.6,0.73,0.68
1,1,váhovanie,0.73,0.9,0.42,0.61,0.78,0.9,0.59,0.51,0.72,0.67
2,1,oversampling,0.74,0.87,0.45,0.58,0.79,0.93,0.44,0.59,0.71,0.67
3,1,undersampling,0.72,0.9,0.4,0.59,0.77,0.89,0.6,0.47,0.71,0.66
4,2,žiadne,0.81,0.92,0.6,0.66,0.87,0.98,0.52,0.72,0.77,0.75
5,2,váhovanie,0.81,0.93,0.55,0.67,0.88,0.97,0.58,0.68,0.78,0.75
6,2,nadvzorkovanie,0.81,0.93,0.56,0.66,0.87,0.98,0.56,0.69,0.77,0.75
7,2,podvzorkovanie,0.79,0.94,0.51,0.66,0.86,0.96,0.66,0.61,0.76,0.74
8,3,žiadne,0.85,0.96,0.7,0.69,0.88,0.99,0.66,0.75,0.77,0.8
9,3,váhovanie,0.84,0.96,0.67,0.69,0.87,0.98,0.71,0.73,0.76,0.8
10,3,nadvzorkovanie,0.84,0.96,0.67,0.69,0.87,0.99,0.69,0.72,0.76,0.79
11,3,podvzorkovanie,0.84,0.98,0.6,0.71,0.87,0.96,0.81,0.68,0.77,0.79
12,4,žiadne,0.92,0.98,0.85,0.83,0.96,0.99,0.82,0.89,0.86,0.9
13,4,váhovanie,0.92,0.98,0.81,0.84,0.96,0.98,0.87,0.88,0.86,0.9
14,4,nadvzorkovanie,0.92,0.98,0.84,0.84,0.96,0.99,0.84,0.88,0.87,0.9
15,4,podvzorkovanie,0.91,0.98,0.76,0.85,0.95,0.97,0.88,0.86,0.87,0.89
