,n·zov Ërty,dÙleûitosù
7,ratio_pledged_goal,0.42914944136750527
0,average_pledge,0.020458519642818238
10,usd_goal,0.020349159296316612
1,backers_count,0.018135696639287643
106,LDA_24,0.014640452091519063
91,LDA_9,0.01367263475088005
11,usd_pledged,0.01338685402919162
96,LDA_14,0.011745027443451638
83,LDA_1,0.011289072497354018
100,LDA_18,0.011094763068629592
8,ratio_running_duration,0.01052207381841388
63,LSA_6,0.010468134531772904
102,LDA_20,0.010396013665736899
92,LDA_10,0.010385640105380085
97,LDA_15,0.010340780680445543
76,LSA_19,0.010108774224301393
77,LSA_20,0.010019605837575026
79,LSA_22,0.009909273645957456
6,pledged,0.009760241784496497
66,LSA_9,0.009463202338543773
3,days_preparation,0.009108146465869514
99,LDA_17,0.00903611571417698
69,LSA_12,0.008843033165418138
80,LSA_23,0.008790732806652669
90,LDA_8,0.008430084470635814
72,LSA_15,0.008313121812356595
73,LSA_16,0.008121544798333663
86,LDA_4,0.007866327518178687
88,LDA_6,0.0077132873072783695
2,category_position,0.0076447304334221365
61,LSA_4,0.007626004698356179
70,LSA_13,0.007479669511891145
84,LDA_2,0.007197972966181481
78,LSA_21,0.007019797067491948
103,LDA_21,0.006863848023477768
95,LDA_13,0.006832189026474683
81,LSA_24,0.006820964887112187
82,LDA_0,0.006820571813547815
71,LSA_14,0.006780293895849038
85,LDA_3,0.006618951053359527
89,LDA_7,0.006431964250539493
105,LDA_23,0.006412017138743958
28,launch_hour,0.006314374599943654
57,LSA_0,0.006294879248318412
62,LSA_5,0.006271929895150131
60,LSA_3,0.006256170491341969
104,LDA_22,0.006127710567047993
58,LSA_1,0.005971714260167012
65,LSA_8,0.005586800144006142
4,days_remaining,0.005442466210570242
75,LSA_18,0.005316455822362288
67,LSA_10,0.005164797385895985
101,LDA_19,0.005072837007054239
87,LDA_5,0.005027381020670192
26,launch_day,0.004745777813778294
59,LSA_2,0.004741023804274687
68,LSA_11,0.004638689621691156
29,image_count,0.004463329459430964
74,LSA_17,0.004370431279805031
14,comments_count_public_while_scraping,0.0043101279752965375
24,deadline_hour,0.004281526442542554
33,blurb_words,0.004163937302397391
15,updates_count_while_scraping,0.003920933854402581
27,launch_dayofweek,0.003705052847460437
98,LDA_16,0.0036920862804155643
22,deadline_day,0.003674961228584719
64,LSA_7,0.003617651137243167
93,LDA_11,0.003614452836136413
44,category_parent_theater,0.003513911952401265
5,days_running,0.0028898504360618067
94,LDA_12,0.0028630619198554475
42,category_parent_photography,0.0022937917834289943
21,deadline_month,0.0020595822753084023
16,updates_likes_sum_while_scraping,0.0020382873058467786
23,deadline_dayofweek,0.002005879136620641
38,category_parent_fashion,0.00190004175116597
32,video_count,0.0016750654004754847
37,category_parent_dance,0.0015698209240917332
35,category_parent_comics,0.0014253777010191913
56,location_type_Town,0.0013806008114760505
41,category_parent_music,0.001291025300857932
18,updates_likes_min_while_scraping,0.001200136028001122
12,faq_count_while_scraping,0.0011422666420066667
47,country_DE,0.0010027220290556836
17,updates_likes_mean_while_scraping,0.000905482038905254
25,launch_month,0.0008602466985590257
31,video_youtube_count,0.0008580573472640699
20,updates_likes_median_while_scraping,0.0008293422432359476
53,location_type_County,0.0007539339560973049
51,currency_SEK,0.0007350567498655873
19,updates_likes_max_while_scraping,0.0007277801612442365
48,country_ES,0.0006079597076739334
50,currency_NZD,0.0006071028343552199
52,currency_USD,0.0005904471113186864
30,video_kickstarter_count,0.0005556656187352622
36,category_parent_crafts,0.000545214268727848
43,category_parent_technology,0.0005154885102955181
9,staff_pick,0.0003469113003856279
34,category_parent_art,0.00034122113308028605
55,location_type_Suburb,0.0003220603404637457
39,category_parent_film & video,0.0002929559713922333
40,category_parent_journalism,0.0002778857463600735
13,comments_count_creator_while_scraping,0.00012567378746340782
45,country_BE,7.874324710582383e-05
46,country_CA,1.7049760369343087e-05
49,country_NL,7.124851561676443e-08
54,location_type_Estate,0.0
