,Algoritmus,Transformácia,S,P_0,P_1,P_2,P_3,Ú_0,Ú_1,Ú_2,Ú_3,F1_makro
0,BernoulliNB,nie,0.52,0.61,0.27,0.46,0.41,0.77,0.01,0.28,0.59,0.38
23,BernoulliNB,áno,0.52,0.61,0.28,0.46,0.41,0.78,0.01,0.28,0.58,0.38
1,DecisionTreeClassifier,nie,0.52,0.71,0.25,0.41,0.45,0.68,0.27,0.42,0.45,0.46
24,DecisionTreeClassifier,áno,0.5,0.7,0.26,0.38,0.44,0.64,0.26,0.41,0.47,0.45
2,ExtraTreeClassifier,nie,0.49,0.65,0.25,0.4,0.44,0.64,0.26,0.41,0.42,0.43
25,ExtraTreeClassifier,áno,0.49,0.67,0.25,0.37,0.43,0.66,0.25,0.37,0.44,0.43
3,ExtraTreesClassifier,nie,0.58,0.66,0.35,0.48,0.55,0.84,0.2,0.44,0.46,0.49
26,ExtraTreesClassifier,áno,0.6,0.7,0.39,0.48,0.53,0.83,0.18,0.46,0.52,0.5
4,GaussianNB,nie,0.27,0.92,0.14,0.25,0.23,0.08,0.08,0.93,0.05,0.18
27,GaussianNB,áno,0.26,0.72,0.15,0.49,0.52,0.25,0.87,0.15,0.06,0.24
17,GaussianProcessClassifier,nie,0.49,0.57,0.28,0.4,0.46,0.72,0.23,0.33,0.36,0.41
40,GaussianProcessClassifier,áno,0.54,0.56,0.8,0.47,0.51,0.9,0.05,0.31,0.39,0.4
18,GradientBoostingClassifier,nie,0.6,0.68,0.35,0.46,0.53,0.85,0.02,0.45,0.58,0.45
41,GradientBoostingClassifier,áno,0.59,0.72,0.33,0.45,0.51,0.82,0.03,0.47,0.6,0.46
5,KNeighborsClassifier,nie,0.47,0.56,0.18,0.33,0.46,0.75,0.12,0.29,0.31,0.37
28,KNeighborsClassifier,áno,0.44,0.53,0.18,0.34,0.37,0.72,0.11,0.3,0.24,0.34
6,LinearDiscriminantAnalysis,nie,0.54,0.58,0.0,0.45,0.51,0.84,0.0,0.34,0.48,0.39
29,LinearDiscriminantAnalysis,áno,0.57,0.68,0.31,0.46,0.48,0.81,0.02,0.38,0.64,0.44
19,LinearSVC,nie,0.34,0.4,0.13,0.0,0.44,0.64,0.23,0.0,0.18,0.23
42,LinearSVC,áno,0.57,0.64,1.0,0.44,0.52,0.85,0.0,0.39,0.55,0.42
7,LogisticRegression,nie,0.56,0.62,0.29,0.47,0.51,0.86,0.02,0.34,0.55,0.42
30,LogisticRegression,áno,0.57,0.67,0.37,0.44,0.48,0.82,0.01,0.37,0.61,0.43
8,LogisticRegressionCV,nie,0.51,0.54,0.0,0.3,0.52,0.91,0.0,0.18,0.36,0.33
31,LogisticRegressionCV,áno,0.57,0.67,0.42,0.44,0.48,0.82,0.01,0.37,0.62,0.43
9,MLPClassifier,nie,0.4,0.63,0.38,0.28,0.34,0.42,0.0,0.43,0.55,0.32
32,MLPClassifier,áno,0.58,0.68,0.2,0.46,0.52,0.82,0.06,0.43,0.55,0.45
10,NearestCentroid,nie,0.26,0.8,0.13,0.26,0.17,0.13,0.25,0.74,0.03,0.21
33,NearestCentroid,áno,0.36,0.56,0.16,0.3,0.27,0.4,0.05,0.31,0.5,0.3
15,NuSVC,nie,0.48,0.46,0.69,0.63,0.62,0.95,0.15,0.16,0.13,0.33
38,NuSVC,áno,0.43,0.6,0.18,0.32,0.4,0.64,0.28,0.24,0.32,0.37
22,PassiveAggressiveClassifier,nie,0.2,0.0,0.13,0.0,0.32,0.0,0.63,0.0,0.52,0.15
45,PassiveAggressiveClassifier,áno,0.29,0.86,0.15,0.35,0.65,0.36,0.87,0.09,0.02,0.24
21,Perceptron,nie,0.26,0.62,0.12,0.25,0.27,0.23,0.4,0.01,0.52,0.22
44,Perceptron,áno,0.28,0.91,0.15,0.37,0.62,0.29,0.86,0.18,0.04,0.25
11,QuadraticDiscriminantAnalysis,nie,0.18,0.92,0.13,0.42,0.41,0.03,0.93,0.2,0.01,0.15
34,QuadraticDiscriminantAnalysis,áno,0.15,0.58,0.13,0.38,0.4,0.02,0.97,0.08,0.0,0.1
12,RandomForestClassifier,nie,0.58,0.68,0.37,0.45,0.55,0.83,0.22,0.41,0.5,0.49
35,RandomForestClassifier,áno,0.58,0.7,0.39,0.44,0.53,0.8,0.19,0.43,0.54,0.49
13,RidgeClassifier,nie,0.54,0.56,0.0,0.48,0.52,0.88,0.0,0.29,0.48,0.39
36,RidgeClassifier,áno,0.57,0.64,0.5,0.5,0.48,0.85,0.0,0.31,0.64,0.42
14,RidgeClassifierCV,nie,0.54,0.56,0.0,0.48,0.52,0.88,0.0,0.28,0.48,0.39
37,RidgeClassifierCV,áno,0.57,0.64,0.5,0.5,0.48,0.85,0.0,0.31,0.64,0.41
20,SGDClassifier,nie,0.26,0.62,0.12,0.25,0.27,0.23,0.4,0.01,0.52,0.22
43,SGDClassifier,áno,0.24,0.91,0.14,0.38,0.59,0.21,0.92,0.12,0.02,0.2
16,SVC,nie,0.49,0.46,0.99,0.83,0.75,0.99,0.13,0.14,0.1,0.32
39,SVC,áno,0.57,0.65,0.0,0.48,0.48,0.85,0.0,0.33,0.62,0.42
