,Algoritmus,Transformácia,S,P_0,P_1,P_2,P_3,Ú_0,Ú_1,Ú_2,Ú_3,F1_makro
0,BernoulliNB,nie,0.54,0.83,0.25,0.41,0.52,0.65,0.31,0.49,0.54,0.5
23,BernoulliNB,áno,0.55,0.83,0.24,0.41,0.53,0.65,0.3,0.51,0.54,0.5
1,DecisionTreeClassifier,nie,0.64,0.85,0.28,0.48,0.65,0.86,0.33,0.45,0.63,0.56
24,DecisionTreeClassifier,áno,0.64,0.86,0.28,0.5,0.63,0.84,0.33,0.46,0.63,0.57
2,ExtraTreeClassifier,nie,0.54,0.74,0.22,0.4,0.48,0.77,0.23,0.37,0.47,0.46
25,ExtraTreeClassifier,áno,0.61,0.81,0.3,0.45,0.54,0.84,0.31,0.43,0.53,0.53
3,ExtraTreesClassifier,nie,0.65,0.76,0.28,0.53,0.67,0.94,0.18,0.5,0.56,0.54
26,ExtraTreesClassifier,áno,0.68,0.82,0.35,0.53,0.65,0.96,0.22,0.52,0.61,0.58
4,GaussianNB,nie,0.33,0.99,0.14,0.29,0.85,0.12,0.15,0.9,0.21,0.28
27,GaussianNB,áno,0.26,0.86,0.15,0.46,0.68,0.11,0.92,0.05,0.39,0.26
17,GaussianProcessClassifier,nie,0.42,0.43,0.1,0.32,0.46,0.96,0.02,0.02,0.04,0.18
40,GaussianProcessClassifier,áno,0.58,0.58,0.11,0.49,0.67,0.97,0.0,0.29,0.49,0.42
18,GradientBoostingClassifier,nie,0.74,0.85,0.49,0.63,0.75,0.97,0.38,0.6,0.69,0.67
41,GradientBoostingClassifier,áno,0.75,0.86,0.52,0.64,0.75,0.97,0.39,0.62,0.7,0.68
5,KNeighborsClassifier,nie,0.66,0.79,0.27,0.52,0.7,0.95,0.21,0.46,0.6,0.56
28,KNeighborsClassifier,áno,0.5,0.57,0.15,0.38,0.56,0.83,0.1,0.28,0.34,0.39
6,LinearDiscriminantAnalysis,nie,0.6,0.63,0.28,0.49,0.74,0.89,0.08,0.44,0.54,0.49
29,LinearDiscriminantAnalysis,áno,0.72,0.86,0.4,0.67,0.71,0.91,0.46,0.5,0.76,0.65
19,LinearSVC,nie,0.58,0.83,0.37,0.08,0.4,0.9,0.03,0.01,0.95,0.38
42,LinearSVC,áno,0.72,0.81,0.49,0.62,0.65,0.97,0.17,0.5,0.81,0.6
7,LogisticRegression,nie,0.75,0.84,0.5,0.62,0.79,0.97,0.31,0.65,0.69,0.66
30,LogisticRegression,áno,0.73,0.84,0.5,0.61,0.71,0.95,0.3,0.57,0.76,0.65
8,LogisticRegressionCV,nie,0.69,0.74,0.52,0.55,0.77,0.98,0.11,0.56,0.63,0.57
31,LogisticRegressionCV,áno,0.74,0.86,0.48,0.61,0.72,0.94,0.35,0.58,0.75,0.66
9,MLPClassifier,nie,0.66,0.87,0.33,0.49,0.83,0.88,0.46,0.6,0.41,0.59
32,MLPClassifier,áno,0.73,0.87,0.48,0.59,0.69,0.92,0.34,0.57,0.76,0.65
10,NearestCentroid,nie,0.32,0.87,0.14,0.29,0.89,0.13,0.24,0.81,0.19,0.28
33,NearestCentroid,áno,0.4,0.78,0.15,0.36,0.66,0.45,0.46,0.43,0.23,0.38
15,NuSVC,nie,0.42,0.42,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15
38,NuSVC,áno,0.64,0.82,0.29,0.49,0.66,0.91,0.33,0.4,0.58,0.56
22,PassiveAggressiveClassifier,nie,0.63,0.84,0.0,0.44,0.45,0.94,0.0,0.25,0.83,0.45
45,PassiveAggressiveClassifier,áno,0.62,0.68,0.2,0.75,0.52,1.0,0.0,0.01,0.92,0.37
21,Perceptron,nie,0.52,0.94,0.0,0.31,0.69,0.48,0.0,0.73,0.7,0.44
44,Perceptron,áno,0.63,0.68,0.31,0.72,0.62,0.98,0.23,0.11,0.77,0.49
11,QuadraticDiscriminantAnalysis,nie,0.24,0.91,0.15,0.24,0.76,0.04,0.94,0.02,0.44,0.23
34,QuadraticDiscriminantAnalysis,áno,0.17,0.86,0.13,0.36,0.44,0.03,0.92,0.01,0.19,0.14
12,RandomForestClassifier,nie,0.69,0.84,0.37,0.52,0.68,0.96,0.26,0.51,0.63,0.59
35,RandomForestClassifier,áno,0.7,0.84,0.4,0.56,0.7,0.95,0.29,0.54,0.65,0.61
13,RidgeClassifier,nie,0.59,0.59,0.5,0.48,0.68,0.92,0.02,0.31,0.59,0.45
36,RidgeClassifier,áno,0.69,0.76,0.48,0.59,0.63,0.97,0.08,0.41,0.81,0.54
14,RidgeClassifierCV,nie,0.59,0.59,0.43,0.48,0.68,0.93,0.01,0.3,0.61,0.44
37,RidgeClassifierCV,áno,0.69,0.76,0.48,0.59,0.63,0.97,0.08,0.41,0.81,0.54
20,SGDClassifier,nie,0.52,0.94,0.0,0.31,0.69,0.48,0.0,0.73,0.7,0.44
43,SGDClassifier,áno,0.65,0.74,0.52,0.64,0.52,0.98,0.08,0.12,0.91,0.46
16,SVC,nie,0.42,0.42,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15
39,SVC,áno,0.68,0.74,0.25,0.56,0.67,0.98,0.0,0.54,0.65,0.51
