,Algoritmus,Transformácia,S,P_0,P_1,P_2,P_3,Ú_0,Ú_1,Ú_2,Ú_3,F1_makro
0,BernoulliNB,nie,0.56,0.8,0.25,0.42,0.53,0.69,0.26,0.46,0.59,0.5
23,BernoulliNB,áno,0.56,0.79,0.25,0.42,0.53,0.69,0.27,0.46,0.6,0.5
1,DecisionTreeClassifier,nie,0.66,0.86,0.33,0.5,0.66,0.86,0.35,0.49,0.64,0.59
24,DecisionTreeClassifier,áno,0.66,0.85,0.32,0.52,0.67,0.85,0.35,0.49,0.67,0.59
2,ExtraTreeClassifier,nie,0.5,0.7,0.21,0.36,0.44,0.7,0.23,0.35,0.42,0.43
25,ExtraTreeClassifier,áno,0.59,0.8,0.24,0.43,0.53,0.85,0.26,0.36,0.54,0.5
3,ExtraTreesClassifier,nie,0.62,0.71,0.24,0.5,0.62,0.93,0.13,0.4,0.56,0.5
26,ExtraTreesClassifier,áno,0.67,0.82,0.35,0.51,0.64,0.96,0.21,0.47,0.63,0.57
4,GaussianNB,nie,0.33,0.99,0.14,0.29,0.85,0.12,0.15,0.9,0.21,0.28
27,GaussianNB,áno,0.34,0.89,0.16,0.48,0.64,0.28,0.89,0.06,0.43,0.33
17,GaussianProcessClassifier,nie,0.42,0.43,0.1,0.32,0.46,0.96,0.02,0.02,0.04,0.18
40,GaussianProcessClassifier,áno,0.57,0.58,0.11,0.48,0.66,0.97,0.0,0.27,0.47,0.41
18,GradientBoostingClassifier,nie,0.74,0.86,0.51,0.61,0.76,0.96,0.41,0.6,0.67,0.67
41,GradientBoostingClassifier,áno,0.74,0.85,0.51,0.61,0.76,0.96,0.39,0.6,0.68,0.67
5,KNeighborsClassifier,nie,0.66,0.79,0.27,0.52,0.7,0.95,0.21,0.46,0.6,0.56
28,KNeighborsClassifier,áno,0.5,0.58,0.16,0.38,0.56,0.82,0.11,0.3,0.34,0.39
6,LinearDiscriminantAnalysis,nie,0.6,0.64,0.22,0.49,0.76,0.87,0.09,0.46,0.54,0.49
29,LinearDiscriminantAnalysis,áno,0.7,0.85,0.39,0.64,0.69,0.9,0.47,0.46,0.74,0.64
19,LinearSVC,nie,0.16,0.67,0.13,0.0,1.0,0.01,1.0,0.0,0.14,0.12
42,LinearSVC,áno,0.71,0.83,0.49,0.59,0.64,0.95,0.18,0.52,0.79,0.6
7,LogisticRegression,nie,0.75,0.84,0.53,0.63,0.79,0.97,0.32,0.66,0.69,0.67
30,LogisticRegression,áno,0.73,0.83,0.51,0.61,0.7,0.95,0.31,0.56,0.75,0.65
8,LogisticRegressionCV,nie,0.69,0.74,0.54,0.56,0.75,0.98,0.11,0.55,0.64,0.57
31,LogisticRegressionCV,áno,0.74,0.85,0.5,0.63,0.73,0.94,0.37,0.58,0.75,0.66
9,MLPClassifier,nie,0.64,0.86,0.3,0.56,0.51,0.91,0.28,0.21,0.83,0.53
32,MLPClassifier,áno,0.72,0.84,0.43,0.61,0.74,0.93,0.39,0.58,0.67,0.65
10,NearestCentroid,nie,0.32,0.87,0.14,0.29,0.89,0.13,0.24,0.81,0.19,0.28
33,NearestCentroid,áno,0.4,0.78,0.15,0.36,0.64,0.45,0.46,0.42,0.23,0.38
15,NuSVC,nie,0.42,0.42,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15
38,NuSVC,áno,0.65,0.82,0.31,0.52,0.65,0.92,0.36,0.4,0.6,0.57
22,PassiveAggressiveClassifier,nie,0.63,0.84,0.0,0.44,0.45,0.94,0.0,0.25,0.83,0.45
45,PassiveAggressiveClassifier,áno,0.62,0.68,0.2,0.8,0.52,1.0,0.0,0.01,0.93,0.38
21,Perceptron,nie,0.52,0.94,0.0,0.31,0.69,0.48,0.0,0.73,0.7,0.44
44,Perceptron,áno,0.61,0.64,0.0,0.83,0.54,1.0,0.0,0.01,0.88,0.37
11,QuadraticDiscriminantAnalysis,nie,0.25,0.86,0.15,0.3,0.73,0.05,0.91,0.05,0.48,0.25
34,QuadraticDiscriminantAnalysis,áno,0.3,0.8,0.13,0.38,0.28,0.24,0.35,0.06,0.66,0.26
12,RandomForestClassifier,nie,0.68,0.82,0.31,0.54,0.69,0.96,0.22,0.5,0.62,0.58
35,RandomForestClassifier,áno,0.69,0.82,0.28,0.56,0.7,0.96,0.18,0.54,0.64,0.58
13,RidgeClassifier,nie,0.6,0.6,0.44,0.52,0.69,0.93,0.03,0.34,0.6,0.46
36,RidgeClassifier,áno,0.69,0.75,0.51,0.63,0.64,0.98,0.1,0.42,0.81,0.56
14,RidgeClassifierCV,nie,0.61,0.62,0.32,0.51,0.66,0.91,0.03,0.37,0.63,0.47
37,RidgeClassifierCV,áno,0.69,0.75,0.51,0.63,0.64,0.98,0.1,0.42,0.81,0.56
20,SGDClassifier,nie,0.52,0.94,0.0,0.31,0.69,0.48,0.0,0.73,0.7,0.44
43,SGDClassifier,áno,0.64,0.65,0.44,0.71,0.61,1.0,0.02,0.18,0.82,0.45
16,SVC,nie,0.42,0.42,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15
39,SVC,áno,0.67,0.72,0.67,0.54,0.65,0.97,0.01,0.51,0.64,0.51
