,Algoritmus,Transformácia,S,P_0,P_1,P_2,P_3,Ú_0,Ú_1,Ú_2,Ú_3,F1_makro
0,BernoulliNB,nie,0.52,0.64,0.25,0.4,0.44,0.7,0.02,0.41,0.58,0.41
23,BernoulliNB,áno,0.52,0.64,0.28,0.4,0.45,0.7,0.03,0.41,0.58,0.41
1,DecisionTreeClassifier,nie,0.54,0.71,0.28,0.41,0.51,0.7,0.31,0.42,0.47,0.47
24,DecisionTreeClassifier,áno,0.53,0.7,0.27,0.4,0.5,0.69,0.3,0.42,0.48,0.47
2,ExtraTreeClassifier,nie,0.49,0.64,0.26,0.41,0.45,0.63,0.27,0.41,0.44,0.44
25,ExtraTreeClassifier,áno,0.49,0.65,0.26,0.38,0.43,0.63,0.27,0.39,0.43,0.43
3,ExtraTreesClassifier,nie,0.59,0.65,0.4,0.5,0.57,0.85,0.2,0.45,0.46,0.5
26,ExtraTreesClassifier,áno,0.6,0.68,0.41,0.48,0.56,0.84,0.2,0.45,0.53,0.51
4,GaussianNB,nie,0.27,0.92,0.14,0.25,0.23,0.08,0.08,0.93,0.05,0.18
27,GaussianNB,áno,0.43,0.7,0.18,0.41,0.56,0.52,0.53,0.36,0.28,0.4
17,GaussianProcessClassifier,nie,0.49,0.57,0.28,0.4,0.46,0.72,0.23,0.33,0.36,0.41
40,GaussianProcessClassifier,áno,0.55,0.56,0.9,0.49,0.54,0.9,0.06,0.32,0.4,0.41
18,GradientBoostingClassifier,nie,0.61,0.7,0.34,0.49,0.56,0.86,0.04,0.48,0.6,0.48
41,GradientBoostingClassifier,áno,0.61,0.71,0.4,0.48,0.55,0.84,0.04,0.49,0.63,0.48
5,KNeighborsClassifier,nie,0.47,0.56,0.18,0.33,0.46,0.75,0.12,0.29,0.31,0.37
28,KNeighborsClassifier,áno,0.45,0.54,0.17,0.35,0.38,0.72,0.11,0.32,0.26,0.35
6,LinearDiscriminantAnalysis,nie,0.57,0.63,0.25,0.47,0.54,0.85,0.02,0.4,0.55,0.43
29,LinearDiscriminantAnalysis,áno,0.6,0.71,0.26,0.48,0.53,0.82,0.05,0.47,0.61,0.47
19,LinearSVC,nie,0.22,0.0,0.0,0.0,0.22,0.0,0.0,0.0,1.0,0.09
42,LinearSVC,áno,0.59,0.65,0.3,0.5,0.52,0.87,0.0,0.39,0.59,0.44
7,LogisticRegression,nie,0.58,0.64,0.21,0.48,0.54,0.86,0.01,0.39,0.56,0.43
30,LogisticRegression,áno,0.6,0.69,0.31,0.48,0.52,0.83,0.02,0.46,0.62,0.46
8,LogisticRegressionCV,nie,0.51,0.54,0.5,0.29,0.49,0.91,0.0,0.12,0.44,0.33
31,LogisticRegressionCV,áno,0.6,0.7,0.33,0.47,0.52,0.83,0.02,0.47,0.62,0.46
9,MLPClassifier,nie,0.41,0.55,0.13,0.33,0.3,0.74,0.2,0.11,0.22,0.3
32,MLPClassifier,áno,0.59,0.71,0.28,0.47,0.53,0.82,0.11,0.44,0.58,0.48
10,NearestCentroid,nie,0.26,0.8,0.13,0.26,0.17,0.13,0.25,0.74,0.03,0.21
33,NearestCentroid,áno,0.36,0.56,0.15,0.3,0.27,0.4,0.05,0.32,0.5,0.3
15,NuSVC,nie,0.49,0.48,0.55,0.5,0.56,0.9,0.16,0.19,0.19,0.36
38,NuSVC,áno,0.48,0.64,0.18,0.38,0.46,0.68,0.27,0.28,0.4,0.41
22,PassiveAggressiveClassifier,nie,0.2,0.0,0.13,0.0,0.32,0.0,0.63,0.0,0.52,0.15
45,PassiveAggressiveClassifier,áno,0.29,0.89,0.15,0.41,0.7,0.33,0.88,0.1,0.07,0.26
21,Perceptron,nie,0.26,0.62,0.12,0.25,0.27,0.23,0.4,0.01,0.52,0.22
44,Perceptron,áno,0.3,0.9,0.15,0.39,0.68,0.35,0.87,0.16,0.01,0.25
11,QuadraticDiscriminantAnalysis,nie,0.42,0.42,0.09,0.46,0.23,0.98,0.0,0.0,0.01,0.16
34,QuadraticDiscriminantAnalysis,áno,0.17,0.73,0.13,0.38,0.54,0.04,0.95,0.12,0.02,0.13
12,RandomForestClassifier,nie,0.6,0.67,0.41,0.49,0.6,0.84,0.2,0.44,0.55,0.51
35,RandomForestClassifier,áno,0.6,0.69,0.37,0.47,0.57,0.85,0.2,0.43,0.52,0.5
13,RidgeClassifier,nie,0.57,0.6,0.0,0.48,0.54,0.88,0.0,0.34,0.54,0.41
36,RidgeClassifier,áno,0.59,0.66,0.43,0.5,0.51,0.86,0.0,0.39,0.61,0.44
14,RidgeClassifierCV,nie,0.54,0.75,0.14,0.42,0.42,0.65,0.0,0.46,0.72,0.42
37,RidgeClassifierCV,áno,0.59,0.66,0.3,0.5,0.51,0.87,0.0,0.39,0.61,0.44
20,SGDClassifier,nie,0.26,0.62,0.12,0.25,0.27,0.23,0.4,0.01,0.52,0.22
43,SGDClassifier,áno,0.2,0.94,0.14,0.49,0.67,0.15,0.98,0.03,0.03,0.16
16,SVC,nie,0.49,0.47,0.94,0.62,0.62,0.96,0.13,0.16,0.15,0.34
39,SVC,áno,0.58,0.65,0.0,0.49,0.5,0.86,0.0,0.38,0.61,0.43
